87
Vdd[mV] Temp[C] Leakage[nA] FwdLatUp[ns] FwdLatDn[ns] BwdLatUp[ns] BwdLatDn[ns] CycTime[ns] EpC[fJ]
250 -50 0.0165311 34.2363 375.656 91.6924 390.252 546.889 2.15387
275 -50 0.0198148 10.9618 157.138 29.3017 169.141 219.443 3.25157
300 -50 0.0239096 3.73366 70.1662 9.95846 78.0489 95.132 4.93124
325 -50 0.0290514 1.44646 31.8298 3.85465 36.3234 42.9661 6.78458
350 -50 0.0353707 0.674974 13.8861 1.79386 16.1501 19.2441 7.67778
375 -50 0.0428215 0.37544 5.78087 0.995884 6.71597 8.44525 7.13416
400 -50 0.0513665 0.239816 2.43463 0.634317 2.71411 3.81116 5.94703
425 -50 0.0609746 0.170051 1.1419 0.447678 1.21632 1.99469 5.16462
450 -50 0.0716866 0.132104 0.61412 0.341779 0.64227 1.23763 4.87831
475 -50 0.0835576 0.105175 0.363995 0.271857 0.38458 0.861985 4.86416
500 -50 0.0966292 0.0855714 0.234436 0.223424 0.271132 0.668165 5.00124
525 -50 0.110975 0.0731039 0.162122 0.190606 0.207814 0.548992 5.25482
550 -50 0.126635 0.0640112 0.118737 0.166595 0.167249 0.467555 5.58958
575 -50 0.143623 0.0570863 0.0907159 0.148393 0.13958 0.408807 5.9829
600 -50 0.161947 0.0516838 0.0715734 0.134178 0.119802 0.364787 6.42266
625 -50 0.181623 0.0473608 0.0579659 0.122817 0.105111 0.330848 6.90245
650 -50 0.202618 0.0438458 0.0480121 0.113569 0.0939042 0.303886 7.41869
675 -50 0.224935 0.0409313 0.0403543 0.105917 0.0851328 0.282125 7.97024
700 -50 0.24854 0.0384887 0.0345024 0.0994934 0.0780825 0.264187 8.5561
725 -50 0.27342 0.0364196 0.0298957 0.0940257 0.0723162 0.249233 9.17648
750 -50 0.299568 0.0346446 0.0261493 0.0893513 0.0675139 0.236577 9.83262
775 -50 0.326978 0.0331279 0.0231552 0.0853254 0.0634662 0.225782 10.5255
800 -50 0.355661 0.0318121 0.0206099 0.0818172 0.0600309 0.216515 11.2579
850 -50 0.416993 0.0296645 0.0165753 0.0760745 0.0545549 0.201558 12.8488
900 -50 0.484627 0.0280163 0.0136129 0.0716474 0.0504446 0.190226 14.6234
950 -50 0.561081 0.0267365 0.0113661 0.0682029 0.047305 0.181608 16.5963
125 -25 0.108895 2228.48 3110.43 5778.57 4796.46 14409.1 0.277027
175 -25 0.0313383 321.288 577.152 834.446 767.84 2148.81 0.500846
200 -25 0.0340687 119.032 235.093 307.057 296.494 802.757 0.669465
225 -25 0.0370722 43.6437 95.3581 111.735 113.96 297.791 0.87937
250 -25 0.0405995 16.4888 39.6886 41.2125 44.7553 112.031 1.14017
275 -25 0.0448322 6.8482 17.4213 16.0542 18.5307 44.3768 1.47097
300 -25 0.050039 2.75718 8.44565 6.43282 8.83125 19.2475 1.89455
325 -25 0.0564208 1.17891 4.57806 2.84356 4.79936 9.49461 2.41507
350 -25 0.0639842 0.588556 2.67632 1.46621 2.81005 5.26918 2.94584
375 -25 0.0726694 0.350372 1.61309 0.881548 1.69011 3.18203 3.38305
400 -25 0.0824225 0.237448 0.992637 0.595591 1.03644 2.04979 3.70529
425 -25 0.0932464 0.172844 0.626803 0.434165 0.654633 1.39892 3.95968
