33
Vdd[mV] Temp[C] Leakage[nA] FwdLatUp[ns] FwdLatDn[ns] BwdLatUp[ns] BwdLatDn[ns] CycTime[ns] EpC[fJ]
575 0 0.13367 0.0660207 0.109299 0.0818567 0.122739 0.328526 2.31796
600 0 0.142436 0.0603173 0.0940887 0.0746622 0.106258 0.295393 2.49598
625 0 0.151738 0.0556597 0.0823261 0.0688136 0.0934523 0.269023 2.68604
650 0 0.161607 0.0518469 0.0730796 0.0640193 0.0833007 0.247774 2.88922
675 0 0.172029 0.0486368 0.0656898 0.0600045 0.0751512 0.230359 3.10536
700 0 0.183079 0.0459618 0.0596902 0.0566333 0.0685048 0.215863 3.33591
725 0 0.194701 0.0436711 0.0547629 0.0537556 0.0630174 0.203741 3.58096
750 0 0.206926 0.0416984 0.0506683 0.0512943 0.0584323 0.193493 3.8414
775 0 0.219749 0.0400052 0.0472441 0.049169 0.0545774 0.184708 4.11756
800 0 0.233256 0.0385327 0.04434 0.047337 0.0512886 0.177197 4.4108
850 0 0.262316 0.0361379 0.039737 0.0443573 0.0460287 0.165121 5.04979
900 0 0.294878 0.0342702 0.0363076 0.0420689 0.0420567 0.155997 5.76335
950 0 0.332459 0.0328214 0.0336853 0.0403156 0.0390004 0.149149 6.5568
100 25 0.212096 597.269 463.091 700.312 539.046 1974.89 0.0942198
125 25 0.213877 283.454 235.834 338.553 274.132 964.364 0.112371
150 25 0.219082 133.725 114.501 159.892 133.836 457.01 0.143136
175 25 0.225675 62.0403 54.0207 73.9476 63.4112 211.454 0.186763
200 25 0.233087 28.3384 25.1684 33.6485 29.5694 96.4232 0.242769
225 25 0.240995 12.7952 11.8059 15.1603 13.8254 43.8783 0.310738
250 25 0.249421 5.76957 5.74219 6.84725 6.67214 20.3542 0.39065
275 25 0.258451 2.65843 3.01355 3.17847 3.45837 9.95236 0.483523
300 25 0.268141 1.30528 1.75741 1.5781 1.98677 5.32575 0.592823
325 25 0.278458 0.708513 1.13718 0.867307 1.26795 3.16147 0.721219
350 25 0.289319 0.430649 0.794942 0.532129 0.87762 2.07088 0.866431
375 25 0.300688 0.288969 0.583712 0.359188 0.640691 1.46379 1.02121
400 25 0.312514 0.209782 0.441939 0.261544 0.483948 1.09398 1.17858
425 25 0.324818 0.161705 0.34184 0.201794 0.374501 0.852153 1.33405
450 25 0.337627 0.130486 0.269368 0.162743 0.29582 0.685918 1.48724
475 25 0.350993 0.108995 0.216116 0.135825 0.238193 0.567401 1.63991
500 25 0.364953 0.0936355 0.176557 0.116506 0.195436 0.480591 1.7949
525 25 0.379585 0.0821288 0.146858 0.102051 0.163332 0.415525 1.95494
550 25 0.394931 0.0733123 0.124265 0.0909605 0.138879 0.36563 2.12221
575 25 0.411003 0.0664285 0.106853 0.0822698 0.11999 0.326732 2.29842
600 25 0.427786 0.0608859 0.0932396 0.0753006 0.105168 0.295817 2.48527
625 25 0.445508 0.0563635 0.0824593 0.069617 0.093393 0.270853 2.68328
650 25 0.463985 0.0526341 0.0738047 0.0649285 0.0838795 0.250472 2.8936
675 25 0.483309 0.0495044 0.0667764 0.0609961 0.0761205 0.233591 3.11692
700 25 0.503462 0.0468477 0.0609899 0.0576574 0.0697091 0.219485 3.35456
725 25 0.524582 0.0445916 0.0561888 0.0548246 0.0643698 0.207541 3.60637
750 25 0.546579 0.0426341 0.052158 0.0523787 0.0598639 0.197386 3.87409
775 25 0.569521 0.0409629 0.0487527 0.0502774 0.0560425 0.188703 4.15736
800 25 0.593447 0.0394863 0.045857 0.0484427 0.0527785 0.181222 4.45726
850 25 0.6444 0.0370721 0.0412105 0.0454521 0.0474945 0.169088 5.1102
900 25 0.700959 0.0351991 0.03771 0.0431502 0.0434701 0.159914 5.83708
950 25 0.76467 0.0337421 0.0350115 0.0413866 0.040349 0.152922 6.64267
100 50 0.77511 241.417 154.064 278.406 183.471 731.951 0.108455
125 50 0.776375 122.567 83.6588 144.891 99.0962 382.735 0.123764
150 50 0.790292 62.5091 43.493 74.0023 51.7973 195.236 0.151485
175 50 0.809889 31.448 22.0782 37.0822 26.4331 97.6417 0.192288
200 50 0.83325 15.5667 11.1378 18.2863 13.3553 48.2792 0.245652
225 50 0.858088 7.60239 5.71144 8.92252 6.82105 23.9164 0.310608
250 50 0.884173 3.70348 3.07137 4.36453 3.63127 12.1386 0.386079
275 50 0.911509 1.84946 1.78728 2.20109 2.08165 6.51541 0.472705
300 50 0.939862 0.984886 1.14182 1.18761 1.30807 3.79429 0.573472
325 50 0.969202 0.575741 0.793349 0.702945 0.895735 2.41895 0.690982
350 50 0.999447 0.370634 0.586349 0.456962 0.654832 1.67419 0.824236
375 50 1.03062 0.259607 0.451397 0.321989 0.50065 1.23592 0.969156
400 50 1.06267 0.194368 0.356713 0.241845 0.394219 0.957018 1.12113
425 50 1.09566 0.153207 0.287129 0.190873 0.316974 0.768039 1.27655
450 50 1.12961 0.125717 0.234549 0.156552 0.259108 0.634071 1.43419
475 50 1.16473 0.106374 0.194225 0.132346 0.214987 0.535504 1.59408
500 50 1.20095 0.0921962 0.16303 0.114588 0.180962 0.461387 1.75736
525 50 1.23839 0.0814856 0.138677 0.101123 0.154453 0.404329 1.9262
550 50 1.27713 0.0732024 0.119517 0.0907031 0.133586 0.359579 2.10206
575 50 1.31721 0.0666263 0.104306 0.0824127 0.117012 0.324011 2.28666
600 50 1.35859 0.0613248 0.0921197 0.0757433 0.103714 0.29528 2.48103
625 50 1.40166 0.0569394 0.0822582 0.0702389 0.092904 0.271793 2.6868
650 50 1.44611 0.0533253 0.074208 0.0656893 0.08405 0.252331 2.90448
675 50 1.49211 0.0502561 0.0675627 0.0618326 0.0767142 0.236103 3.1352
700 50 1.5397 0.0476517 0.0620322 0.0585659 0.0705933 0.222418 3.38006
725 50 1.58885 0.0454305 0.0573808 0.0557738 0.0654289 0.210743 3.63929
750 50 1.63984 0.0435004 0.0534483 0.053365 0.0610453 0.200788 3.91415
775 50 1.69206 0.0418361 0.0500935 0.0512803 0.0572943 0.192224 4.20447
800 50 1.74701 0.0403763 0.0472173 0.0494679 0.054064 0.184755 4.51171
850 50 1.86185 0.037975 0.0425673 0.046485 0.0488062 0.172687 5.1786
