42
Vdd[mV] Temp[C] Leakage[nA] FwdLatUp[ns] FwdLatDn[ns] BwdLatUp[ns] BwdLatDn[ns] CycTime[ns] EpC[fJ]
250 -50 0.00779882 32.4512 223.295 227.464 258 552.865 1.36418
275 -50 0.00935043 10.442 97.2254 87.1565 108.33 217.324 2.01632
300 -50 0.0113058 3.55351 45.09 35.7509 48.8625 92.0652 2.98562
325 -50 0.0137731 1.3772 20.9951 14.9817 22.4558 40.3311 3.9872
350 -50 0.0168231 0.640785 9.2487 6.10303 9.92864 17.4135 4.3596
375 -50 0.0204207 0.356404 3.76462 2.5788 4.14174 7.4794 3.97443
400 -50 0.024546 0.227469 1.49723 1.23537 1.73694 3.45934 3.39597
425 -50 0.0291784 0.160388 0.666713 0.699919 0.835161 1.88088 3.06596
450 -50 0.0343379 0.12161 0.345015 0.453241 0.472164 1.18979 2.96597
475 -50 0.0400507 0.0970732 0.200941 0.322755 0.302083 0.838338 3.00058
500 -50 0.0463309 0.0806457 0.127668 0.245851 0.21138 0.63649 3.11538
525 -50 0.0532174 0.0689885 0.0860601 0.196853 0.157441 0.509539 3.28311
550 -50 0.0607295 0.0603566 0.0608523 0.16362 0.123149 0.424156 3.48891
575 -50 0.0688744 0.0538181 0.0442526 0.139984 0.0996353 0.363558 3.72406
600 -50 0.0776543 0.0486933 0.0326695 0.122512 0.0826517 0.318743 3.98323
625 -50 0.0870828 0.044594 0.024455 0.109145 0.0701085 0.284507 4.26352
650 -50 0.0971379 0.0412566 0.0185408 0.0987172 0.0606362 0.257736 4.56394
675 -50 0.107826 0.0384897 0.0139602 0.0903909 0.0531014 0.236362 4.88514
700 -50 0.119127 0.0361686 0.0105669 0.0835973 0.0472569 0.219057 5.22858
725 -50 0.131033 0.0342172 0.00795271 0.0780167 0.0426175 0.204884 5.59478
750 -50 0.143546 0.032541 0.00594376 0.0733545 0.0389182 0.193148 5.98426
775 -50 0.156663 0.031092 0.00436752 0.0694161 0.0359517 0.18334 6.3964
800 -50 0.17039 0.0298438 0.00314677 0.0660515 0.0336028 0.175109 6.83052
850 -50 0.199739 0.027812 0.00155571 0.0606972 0.0303397 0.16243 7.77339
900 -50 0.232128 0.0262471 0.000607076 0.0566713 0.0282457 0.153272 8.82899
950 -50 0.268826 0.025038 0.000143539 0.0535935 0.0267571 0.1465 10.0068
125 -25 0.0126736 2101.41 1483.92 5212.22 3655.42 12832.2 0.165577
175 -25 0.0154538 304.708 297.275 803.875 612.613 1983.25 0.313862
200 -25 0.0167599 112.803 124.093 303.494 239.949 750.224 0.420952
225 -25 0.0182133 41.3021 51.3998 113.461 93.415 281.589 0.552121
250 -25 0.019906 15.0846 21.6941 42.7559 36.9503 106.833 0.712406
275 -25 0.02195 5.61951 9.66108 16.6908 15.3302 42.1944 0.911428
300 -25 0.0244613 2.22507 4.74099 7.10387 6.99754 18.2297 1.16249
325 -25 0.0275488 0.992715 2.59375 3.44419 3.61109 8.98014 1.46521
