59
Vdd[mV] Temp[C] Leakage[nA] FwdLatUp[ns] FwdLatDn[ns] BwdLatUp[ns] BwdLatDn[ns] CycTime[ns] EpC[fJ]
600 0 0.273837 0.0501245 0.0619372 0.124251 0.121968 0.360115 6.20024
625 0 0.29276 0.0461906 0.0514259 0.114079 0.108909 0.329175 6.69193
650 0 0.312825 0.0429505 0.0432681 0.105714 0.0984863 0.30405 7.21384
675 0 0.334021 0.0402443 0.0368902 0.0987199 0.0900207 0.283313 7.7662
700 0 0.356421 0.0379544 0.0316566 0.0928154 0.0830488 0.266008 8.35006
725 0 0.379953 0.0360038 0.0274461 0.0877828 0.0772219 0.251378 8.96693
750 0 0.404657 0.0343315 0.0239564 0.0834588 0.0723117 0.238914 9.61848
775 0 0.430557 0.032877 0.0210785 0.0797128 0.0681356 0.228245 10.3064
800 0 0.457702 0.0316146 0.0185268 0.0764555 0.0645711 0.219024 11.0319
850 0 0.515966 0.0295468 0.0145141 0.0711093 0.0588368 0.20412 12.6038
900 0 0.580884 0.027942 0.0114316 0.0669786 0.0544868 0.192782 14.3453
950 0 0.655285 0.0266922 0.00905253 0.0637641 0.0511381 0.184164 16.2681
100 25 0.393447 485.576 189.573 1149.27 720.558 2600.15 0.233745
125 25 0.397967 234.31 113.541 570.338 352.492 1272.5 0.280418
150 25 0.408595 111.193 58.9329 272.274 166.864 601.611 0.357756
175 25 0.421016 51.7118 28.9693 126.473 77.1512 277.424 0.466165
200 25 0.434769 23.6576 14.005 57.6501 35.2896 126.029 0.604116
225 25 0.449188 10.6927 6.834 25.9846 16.2176 57.0459 0.77
250 25 0.464429 4.8234 3.48882 11.7322 7.69145 26.2327 0.963247
275 25 0.480638 2.22283 1.94439 5.44033 3.90898 12.6533 1.18658
300 25 0.497899 1.09034 1.21519 2.69882 2.19936 6.65378 1.44886
325 25 0.516312 0.591948 0.851736 1.4838 1.37726 3.88397 1.75632
350 25 0.535736 0.359752 0.631534 0.910263 0.940043 2.50918 2.10381
375 25 0.556202 0.24159 0.479407 0.614103 0.680798 1.75734 2.47669
400 25 0.577697 0.175462 0.367749 0.446452 0.513114 1.30671 2.85928
425 25 0.600274 0.135225 0.283288 0.343623 0.398209 1.01652 3.24182
450 25 0.624053 0.109025 0.219453 0.276265 0.31672 0.819367 3.62356
475 25 0.649099 0.0909852 0.171588 0.229778 0.25761 0.680031 4.00914
500 25 0.675492 0.0780463 0.135728 0.196306 0.213984 0.578297 4.40445
525 25 0.703323 0.0684287 0.108737 0.17138 0.181226 0.502077 4.81508
550 25 0.7327 0.0610374 0.0882756 0.152227 0.156261 0.443682 5.24529
575 25 0.763497 0.0552001 0.0726504 0.137143 0.13692 0.39793 5.69818
600 25 0.795707 0.0505339 0.0606824 0.125056 0.121689 0.361468 6.17711
625 25 0.829588 0.0467213 0.0512164 0.115175 0.109515 0.331971 6.68361
650 25 0.864987 0.0435596 0.043635 0.107003 0.099632 0.307697 7.21942
675 25 0.901928 0.0409112 0.0375517 0.100141 0.0914936 0.287525 7.78526
700 25 0.940441 0.0386626 0.0325974 0.0943209 0.0847189 0.270532 8.38289
725 25 0.980713 0.0367388 0.0285097 0.0893479 0.0790075 0.256109 9.01362
750 25 1.0226 0.0350867 0.0251809 0.085063 0.0741591 0.243749 9.67915
775 25 1.06625 0.0336372 0.0221731 0.0813389 0.0700113 0.233139 10.381
