69
Vdd[mV] Temp[C] Leakage[nA] FwdLatUp[ns] FwdLatDn[ns] BwdLatUp[ns] BwdLatDn[ns] CycTime[ns] EpC[fJ]
250 -50 0.0115639 43.7839 377.021 58.5608 385.519 510.985 1.0916
275 -50 0.0135965 14.0555 160.993 18.7251 163.767 203.873 1.67253
300 -50 0.0164192 4.78874 72.2221 6.37255 73.1786 86.8616 2.53793
325 -50 0.0204658 1.86654 32.2033 2.48583 32.5759 37.9125 3.4075
350 -50 0.0258055 0.878592 13.8089 1.17328 13.9817 16.5027 3.73958
375 -50 0.0320689 0.49367 5.7906 0.661446 5.88567 7.30266 3.44426
400 -50 0.0388465 0.318742 2.48037 0.428314 2.54052 3.45302 2.90832
425 -50 0.0458967 0.22741 1.18548 0.306294 1.22758 1.87846 2.52725
450 -50 0.0531424 0.174136 0.657162 0.23508 0.688989 1.18825 2.363
475 -50 0.0606108 0.140462 0.412582 0.18996 0.437969 0.841816 2.33938
500 -50 0.0683859 0.117769 0.284066 0.159543 0.305131 0.644863 2.39858
525 -50 0.0765735 0.101644 0.209361 0.137949 0.227384 0.52164 2.51124
550 -50 0.085279 0.0897064 0.162423 0.122002 0.178191 0.439172 2.66141
575 -50 0.094595 0.0806508 0.131081 0.109896 0.145122 0.380749 2.84047
600 -50 0.104596 0.0735719 0.109129 0.100423 0.121805 0.337565 3.04327
625 -50 0.115337 0.0678745 0.0931411 0.0928381 0.104707 0.304713 3.26715
650 -50 0.126857 0.0632548 0.0811228 0.086669 0.0917584 0.278958 3.50999
675 -50 0.139181 0.0594122 0.0718626 0.0815423 0.081699 0.258319 3.7723
700 -50 0.152326 0.0562289 0.0645559 0.0772894 0.0736953 0.241467 4.05293
725 -50 0.166303 0.0535147 0.0586977 0.0736532 0.0672179 0.227522 4.35273
750 -50 0.181123 0.0511928 0.0539142 0.0705555 0.061878 0.21581 4.67236
775 -50 0.196799 0.0491896 0.0499696 0.067874 0.0574344 0.205882 5.01309
800 -50 0.213355 0.0474689 0.0466702 0.0655572 0.0536831 0.197386 5.37631
850 -50 0.249255 0.0446838 0.0415108 0.0618022 0.0477425 0.1838 6.17323
900 -50 0.289673 0.0425251 0.0377141 0.0589143 0.0432925 0.173581 7.07232
950 -50 0.33654 0.0408652 0.0348531 0.05672 0.0398816 0.16584 8.08194
125 -25 0.0378692 2999.45 4296.26 3921.18 4644.76 12593.1 0.134351
175 -25 0.0219155 425.754 735.029 554.504 804.608 1927.21 0.232747
200 -25 0.0235879 156.799 290.589 202.777 317.53 726.81 0.309755
225 -25 0.0254825 57.165 114.361 73.4427 124.373 272.176 0.406709
250 -25 0.0277767 20.8402 45.7813 26.6579 49.4618 103.06 0.527923
275 -25 0.030751 7.75131 19.2657 9.91141 20.6437 40.6384 0.681764
300 -25 0.0348768 3.07629 8.94828 3.95242 9.49998 17.5452 0.880928
325 -25 0.040422 1.38029 4.71489 1.7916 4.96495 8.66464 1.12668
350 -25 0.0471692 0.722949 2.73125 0.948965 2.8627 4.83677 1.38429
375 -25 0.0546519 0.437599 1.66188 0.579787 1.7411 2.95261 1.60256
400 -25 0.062485 0.296301 1.04506 0.395386 1.09834 1.92736 1.76514
425 -25 0.0704767 0.218088 0.682463 0.292502 0.721353 1.33636 1.8914
450 -25 0.0785989 0.170534 0.466169 0.229661 0.496324 0.980458 2.00819
475 -25 0.086899 0.139509 0.333652 0.188505 0.358141 0.756593 2.1331
500 -25 0.0954894 0.118113 0.249544 0.160041 0.270111 0.609185 2.27424
525 -25 0.104493 0.102646 0.194066 0.139437 0.21181 0.508099 2.43405
550 -25 0.114054 0.0910552 0.156058 0.123996 0.171671 0.435889 2.61316
575 -25 0.124266 0.08214 0.129081 0.112111 0.143038 0.382574 2.81079
600 -25 0.135222 0.0751019 0.109345 0.102719 0.121967 0.34198 3.02664
625 -25 0.146995 0.0694474 0.0944961 0.0951623 0.106018 0.310386 3.26006
650 -25 0.159637 0.0648045 0.0830606 0.0889561 0.0936478 0.285189 3.51096
675 -25 0.173191 0.0609937 0.0740753 0.0838381 0.0838581 0.264793 3.78046
700 -25 0.187678 0.057732 0.066889 0.0794856 0.0759694 0.247971 4.06803
725 -25 0.203138 0.0549939 0.0610506 0.0757956 0.0695103 0.233927 4.37488
750 -25 0.219587 0.0526279 0.0562441 0.0726291 0.0641426 0.222105 4.70206
775 -25 0.237038 0.0506142 0.0522435 0.0699146 0.0596462 0.212016 5.05032
800 -25 0.255587 0.0488595 0.0488822 0.0675417 0.055835 0.20338 5.42071
850 -25 0.296084 0.0459917 0.0435681 0.0636758 0.04975 0.189513 6.23263
900 -25 0.342296 0.0437887 0.0396222 0.0607228 0.0451657 0.179009 7.14634
950 -25 0.396778 0.0420862 0.0366182 0.0584776 0.0416317 0.171042 8.16846
100 0 0.102048 2172.9 1930.89 2701.16 2172.92 7378.62 0.123284
125 0 0.0916741 926.051 930.064 1176.98 1045.67 3317.59 0.137499
150 0 0.094481 393.825 421.236 499.885 477.947 1440.99 0.170312
175 0 0.0984651 165.144 183.962 208.14 209.724 609.008 0.220322
